59, AIRPORT BLVD / LAMAR BLVD,TURNED_ON,,Advidia,LOC16-000040,,NORTHEAST,"7, 4",AUSTIN FULL PURPOSE,ROADWAY,,,7001, AIRPORT BLVD,,7001, LAMAR BLVD,,5159899,9/19/2021 18:17,ONLINE,1/1/2019 9:35,,https://cctv.austinmobility.io/image/59.jpg,None Identified,582a41a15e304c982be5c578,POINT (-97.7188721 30.3376293)
304, LAMAR BLVD / ST JOHNS AVE,TURNED_ON,6/12/2018,Advidia,LOC16-000050,,NORTHEAST,"7, 4",AUSTIN FULL PURPOSE,ROADWAY,,,7200, LAMAR BLVD,,613, ST JOHNS AVE,,5160009,9/19/2021 18:17,ONLINE,6/14/2019 8:35,,https://cctv.austinmobility.io/image/304.jpg,1/4 Cent,591a109d20eacf2d16669b10,POINT (-97.7178421 30.339407)
449, AIRPORT BLVD / GUADALUPE ST,TURNED_ON,7/15/2019,Advidia,LOC16-000065,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,6800, AIRPORT BLVD,,6800, GUADALUPE ST,,5160128,9/19/2021 18:17,ONLINE,2/2/2021 9:35,,https://cctv.austinmobility.io/image/449.jpg,None Identified,591a10a320eacf2d16669c32,POINT (-97.7169266 30.3339596)
60, AIRPORT BLVD / DENSON DR,TURNED_ON,7/11/2019,Advidia,LOC16-000080,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,6200, AIRPORT BLVD,,101, DENSON DR,,5160231,9/19/2021 18:17,ONLINE,2/17/2021 9:35,,https://cctv.austinmobility.io/image/60.jpg,None Identified,582a41a15e304c982be5c576,POINT (-97.7160797 30.3270321)
591, AIRPORT BLVD / GUADALUPE ST,DESIRED,,,LOC16-000065,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,6800, AIRPORT BLVD,,6800, GUADALUPE ST,,5160128,9/19/2021 18:17,OFFLINE,3/28/2019 5:00,,https://cctv.austinmobility.io/image/591.jpg,None Identified,5c9ce03adb816a2f50fdcbc7,POINT (-97.7169266 30.3339596)
618, AIRPORT BLVD / HIGHLAND MALL BLVD,TURNED_ON,7/10/2019,Advidia,LOC16-000075,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,6416, AIRPORT BLVD,,116, HIGHLAND MALL BLVD,,5160255,9/19/2021 18:17,ONLINE,8/27/2020 8:35,,https://cctv.austinmobility.io/image/618.jpg,None Identified,5d264ce33925cc0010706e40,POINT (-97.7158356 30.3288574)
205, ST JOHNS AVE / 35 SVRD,TURNED_ON,,Advidia,LOC16-002920,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,800, ST JOHNS AVE,,7200,IH 35 SVRD,,5161497,9/19/2021 18:17,ONLINE,3/26/2021 8:35,,https://cctv.austinmobility.io/image/205.jpg,None Identified,582a419d5e304c982be5c454,POINT (-97.7037048 30.3325787)
27,IH 35 SVRD / ST JOHNS AVE (HOME DEPOT - DEPOT - INTERIOR),REMOVED,10/2/2017,Axis,LOC16-007005,HOME DEPOT - DEPOT - INTERIOR,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,7200,IH 35 SVRD,,800, ST JOHNS AVE,,,9/19/2021 18:17,OFFLINE,8/15/2018 8:30,,https://cctv.austinmobility.io/image/27.jpg,None Identified,582a41a15e304c982be5c5b8,POINT (-97.701905 30.333229)
26,IH 35 SVRD / ST JOHNS AVE (HOME DEPOT - DEPOT - WEST),REMOVED,10/2/2017,,LOC16-007010,HOME DEPOT - DEPOT - WEST,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,7200,IH 35 SVRD,,800, ST JOHNS AVE,,,9/19/2021 18:17,OFFLINE,8/15/2018 8:30,,https://cctv.austinmobility.io/image/26.jpg,None Identified,582a41a15e304c982be5c5ba,POINT (-97.7025 30.333519)
204,IH 35 SVRD / 290 HWY SVRD (E Koenig LN),TURNED_ON,,Advidia,LOC16-002895,E Koenig LN,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,6100,IH 35 SVRD,,6100,US 290 HWY SVRD,,5161309,9/19/2021 18:17,ONLINE,10/15/2020 8:35,,https://cctv.austinmobility.io/image/204.jpg,None Identified,582a419d5e304c982be5c456,POINT (-97.7060852 30.3227043)
